Negative_siebert,Neutral_siebert,Positive_siebert,dom_tweet_sent_siebert,total_tweet_count,search_query,coviddomain
0.27,0.0,0.73,Positive,941.0,2028,0
0.51,0.0,0.49,Negative,732.0,real life,0
0.41,0.0,0.59,Positive,839.0,pope fransis,0
0.54,0.0,0.46,Negative,877.0,professor,0
0.59,0.0,0.41,Negative,1130.0,pete buttigieg,0
0.69,0.0,0.31,Negative,937.0,r/politics,0
0.45,0.0,0.55,Positive,837.0,boss,0
0.63,0.0,0.37,Negative,890.0,american flag,0
0.36,0.0,0.64,Positive,851.0,dettol,0
0.39,0.0,0.61,Positive,920.0,peanut butter,0
0.31,0.0,0.69,Positive,905.0,whatsapp,0
0.91,0.0,0.09,Negative,847.0,donald trump's staff,0
0.76,0.0,0.24,Negative,120.0,trump,0
0.73,0.0,0.27,Negative,415.0,lost in translation,0
0.33,0.0,0.67,Positive,634.0,butter,0
0.56,0.0,0.44,Negative,860.0,alcohol,0
0.19,0.0,0.81,Positive,762.0,video conference,0
0.67,0.0,0.33,Negative,821.0,texas governor,0
0.69,0.0,0.31,Negative,682.0,viruses,1
0.36,0.0,0.64,Positive,895.0,chewbacca,0
0.71,0.0,0.29,Negative,857.0,george floyd,0
0.21,0.0,0.79,Positive,634.0,dr sadler,0
0.25,0.0,0.75,Positive,434.0,aviators,0
0.58,0.0,0.42,Negative,562.0,kardashian,0
0.7,0.0,0.3,Negative,966.0,presidential debates,0
0.45,0.0,0.55,Positive,193.0,nbc,0
0.77,0.0,0.23,Negative,748.0,ebola,0
0.13,0.0,0.87,Positive,420.0,bangambiki habyarimana,0
0.28,0.0,0.72,Positive,1202.0,lee hsien loong,0
0.55,0.0,0.45,Negative,514.0,covid19,1
0.51,0.0,0.49,Negative,681.0,mother,0
0.51,0.0,0.49,Negative,747.0,restaurant,0
0.06,0.0,0.94,Positive,735.0,ultimate fighting championship ufc ,0
0.48,0.0,0.52,Positive,320.0,arkansas,0
0.46,0.0,0.54,Positive,964.0,chetan bhagat,0
0.47,0.0,0.53,Positive,351.0,working from home office,0
0.83,0.0,0.17,Negative,854.0,anitvaxxers,1
0.78,0.0,0.22,Negative,327.0,puppet,0
0.32,0.0,0.68,Positive,232.0,wisconsin,0
0.64,0.0,0.36,Negative,376.0,democratic presidential debate,0
0.29,0.0,0.71,Positive,460.0,hen party,0
0.58,0.0,0.42,Negative,427.0,mikhail gorbachev,0
0.3,0.0,0.7,Positive,1233.0,corona memes,1
0.39,0.0,0.61,Positive,440.0,life,0
0.74,0.0,0.26,Negative,960.0,governor scott walker,0
0.61,0.0,0.39,Negative,285.0,grocery stores,0
0.71,0.0,0.29,Negative,939.0,made in china,1
0.73,0.0,0.27,Negative,909.0,austerity,0
0.53,0.0,0.47,Negative,280.0,woke,0
